2015-08-31T14:30:00.961508 INFO   :		[100%-50%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5) = 0.000312 (std 0.00173993)
2015-08-31T14:30:01.008840 INFO   :		[100%-51%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.066324 INFO   :		[100%-54%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.114859 INFO   :		[100%-56%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.162038 INFO   :		[100%-57%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^2+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.210474 INFO   :		[100%-59%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^2+z) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.262151 INFO   :		[100%-64%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^3+1) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.310322 INFO   :		[100%-65%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^3+z) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.357591 INFO   :		[100%-67%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^3+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:30:01.405826 INFO   :		[100%-68%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^3+z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.510847 INFO   :		[100%-73%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^3+z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.558426 INFO   :		[100%-75%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.652773 INFO   :		[100%-78%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.707174 INFO   :		[100%-81%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.755135 INFO   :		[100%-82%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^2+1) = 0.000234 (std 0.00151288)
2015-08-31T14:30:01.808034 INFO   :		[100%-85%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:01.855722 INFO   :		[100%-87%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^3) = 0.000078 (std 0.000880424)
2015-08-31T14:30:01.906876 INFO   :		[100%-90%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^3+z) = 0.000078 (std 0.000880424)
2015-08-31T14:30:02.010462 INFO   :		[100%-95%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^3+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:30:02.059798 INFO   :		[100%-96%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^3+z^2+z) = 0.000156 (std 0.0012402)
2015-08-31T14:30:02.109285 INFO   :		[100%-98%] Candidate (z^5+z^2+z,z^5+z^3+1,z^5+z^4+z^3+z^2+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:30:02.120701 INFO   :	Found 29 finalists with the goal weight (9)
2015-08-31T14:30:02.121099 INFO   :		avg:7.8125e-05, std:0.000880424:	[[z^3+z+1 (mod z^6+1), z^5+z^4+z (mod z^6+1), z^5+z^4+z^3 (mod z^6+1)], [z^3+z^2+1 (mod z^6+1), z^5+z^4+z^2 (mod z^6+1), z^4+z^2+z (mod z^6+1)]]
2015-08-31T14:30:02.121328 INFO   :		avg:0.0003125, std:0.00173993:	[[z^3+z^2+1 (mod z^6+1), z^5+z^4+z^2 (mod z^6+1), z^3+z^2+z (mod z^6+1)]]
2015-08-31T14:30:02.121550 INFO   :		avg:7.8125e-05, std:0.000880424:	[[z^3+z^2+1 (mod z^6+1), z^5+z^4+z^2 (mod z^6+1), z^5+z^2+z (mod z^6+1)]]
2015-08-31T14:30:02.121886 INFO   :		avg:7.8125e-05, std:0.000880424:	[[z^3+z+1 (mod z^6+1), z^5+z^4+z (mod z^6+1), z^4+z+1 (mod z^6+1)], [z^3+z+1 (mod z^6+1), z^5+z^4+z (mod z^6+1), z^5+z^2+1 (mod z^6+1)]]
2015-08-31T14:30:02.122302 INFO   :		avg:0.00015625, std:0.0012402:	[[z^3+z^2+1 (mod z^6+1), z^5+z^4+z^2 (mod z^6+1), z^4+z^3+z^2 (mod z^6+1)], [z^4+z^2+z (mod z^6+1), z^4+z^3+1 (mod z^6+1), z^4+z^2+z (mod z^6+1)], [z^4+z^2+z (mod z^6+1), z^4+z^3+1 (mod z^6+1), z^5+z^3+1 (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^4+z^2+1 (mod z^6+1)]]
2015-08-31T14:30:02.122516 INFO   :		avg:0.0003125, std:0.00173993:	[[z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^2+z+1 (mod z^6+1)]]
2015-08-31T14:30:02.122734 INFO   :		avg:7.8125e-05, std:0.000880424:	[[z^3+z+1 (mod z^6+1), z^5+z^4+z (mod z^6+1), z^5+z^4+z^2 (mod z^6+1)]]
2015-08-31T14:30:02.122948 INFO   :		avg:0.000234375, std:0.00151288:	[[z^3+z+1 (mod z^6+1), z^5+z^4+z (mod z^6+1), z^2+z+1 (mod z^6+1)]]
2015-08-31T14:30:02.123203 INFO   :		avg:7.8125e-05, std:0.000880424:	[[z^4+z^2+z (mod z^6+1), z^4+z^3+1 (mod z^6+1), z^4+z^3+1 (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^5+z^4+z (mod z^6+1)]]
2015-08-31T14:30:02.123659 INFO   :		avg:0.00015625, std:0.0012402:	[[z^4+z^2+z (mod z^6+1), z^4+z^3+1 (mod z^6+1), z^5+z^3+z^2 (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^3+z^2+1 (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^3+z^2+z (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^4+z^2+z (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^4+z^3+z (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^5+z^3+z (mod z^6+1)], [z^5+z^2+z (mod z^6+1), z^5+z^3+1 (mod z^6+1), z^5+z^4+z^2 (mod z^6+1)]]
